GBIF observations|gbif
Site typology|site_typology
Reference document number|reference_document_number
Reference document source|reference_document_source
Sorry, no site matching|sites_factsheet-pdf_114
has been found in database.|sites_factsheet-pdf_115
Relationships|sites_factsheet_123
ID Site|id_site
Within databases|within_databases
Relation with other Natura 2000 sites|sites_factsheet_related_natura2000
Type of relation|sites_factsheet_related_relationtype
Relation with Corine biotope sites|sites_factsheet_related_corinesites
Overlap|sites_factsheet_related_overlap
Overlap P|sites_factsheet_related_overlapp
Pick habitat type, show sites|pick_habitat_type_show_sites
Find sites containing a particular habitat type<br />(ex.: EUNIS habitat types <strong>Mires, bogs and fens</strong>)|sites_habitats_24
Habitat types&nbsp;|sites_habitats_07
Select database: &nbsp;|sites_habitats_17
EUNIS habitat types|sites_habitats_18
Habitat type Directive Annex I|sites_habitats_19
You searched for sites containing|sites_habitats-result_02
habitat types with the following characteristic: |sites_habitats-result_03
Search sites by name<br />(ex.: Site name contains <strong>moor</strong>)|sites_names_21
Country is&nbsp;&nbsp;|sites_names_11
Designation year between&nbsp;|sites_names_12
Site neighborhood|site_neighborhood
Search neighboring sites|sites_neighborhoods_20
(ex. Site around site named <strong>Bluntautal</strong> from <strong>Austria</strong>) |sites_neighborhoods_21
Designation year between|designation_year_between
Site neighborhood|site_neighborhood_1
Found|sites_neighborhood-detail_05
site(s) in the range of aprox.|sites_neighborhood-detail_06
km of &nbsp;site&nbsp;|sites_neighborhood-detail_07
&nbsp;Distance (km)|sites_neighborhood-detail_10
Please enter search radius&nbsp;|sites_neighborhood-result_03
[Km] and click on the site name to see neighboring sites.|sites_neighborhood-result_04
Possible values for source data sets are:|sites_refine-helper_01
CDDA National|cdda_national
CDDA International|cdda_international
Corine Biotopes|corine_biotopes
Biogenetic Reserve|biogenetic_reserve
European Diploma|european_diploma
Natura 2000|natura_2000
Possible values for country are:|sites_refine-helper_08
Nature Net|sites_databases_Nature_Net
Site size (Area/Length)|sites_size_01
Search sites by size<br />(ex.: size between <strong>23</strong> and <strong>34</strong> ha)|sites_size_29
Sites size|sites_size-result_01
Pick species, show sites|pick_species_show_sites
Search sites with species <br />(ex.: sites which are related to <strong>Acrocephalus paludicola</strong>)|sites_species_22
You searched sites related to species with |sites_species-result_02
Designation name contains|sites_statistical_05
Designation category is|sites_statistical_06
Designation year is between|sites_statistical_08
Number / Total area|sites_statistical_result_totalarea
Statistical data for sites from:|sites_statistical-result_01
Total number of sites:|sites_statistical-result_03
Country information|sites_statistical-result_04
Original country name:|sites_statistical-result_05
ISO Three Letter Code:|sites_statistical-result_06
English country name:|sites_statistical-result_07
ISO Numeric Code:|sites_statistical-result_08
French country name:|sites_statistical-result_09
Capital:|sites_statistical-result_10
EUNIS area code:|sites_statistical-result_11
Surface(km2):|sites_statistical-result_12
ISO Two Letter Code:|sites_statistical-result_13
Population number:|sites_statistical-result_14
Biogeographic regions:|sites_statistical-result_15
Biogeographic region name|biogeographic_region_name
Percentage(%)|sites_statistical-result_17
Designation type name|sites_statistical-result_19
English designation type name|sites_statistical-result_20
French designation type name|sites_statistical-result_21
Total number of sites|sites_statistical-result_23
This country has no designation types|sites_statistical_result_nodesignations
Show sites designation types  from this country|sites_statistical-result_32
Warning: Expanding data might take a long time.|sites_statistical-result_31
Show species for this country|sites_statistical-result_35
Show habitat types for this country|sites_statistical-result_36
Sites groupped by Designations in EUNIS Database|sites_tree_browser_explanation
Open designation factsheet|open_designation_factsheet
Site designation year|site_designation_year
Search sites by the year of designation<br />(ex. sites with designation year between 1990 and 1995)|sites_year_27
You searched sites with designation year|sites_year-result_06
SPECIES SEARCH|species_main_speciesSearch
Search species with names starting with:|search_species_with_name_starting
A set of predefined &nbsp;functions to search the database|predefined_functions_to_search_database
Names|names
Search species by scientific name (in Latin) or by vernacular name (popular name)|search_by_latin_or_vernacular
Species &amp; subspecies by Group (Invertebrates, Mammals etc.)|species_subspecies_by_group
Synonyms|synonyms
Identify synonym names for species|identify_synonym_names_for_species
Country/Biogeographic region|country_biogeographic_region_location
Find species located within a country and/or a biogeographic region|find_species_located_in_country_region
International Threat Status|international_threat_status
Species threatened at international level|species_threatened_at_international_level
National threat status|national_threat_status
Species threatened at country level|species_threatened_at_country_level
Species protected by legal texts at European level|species_protected_by_legal_texts
Find habitat types characterized by a particular species|find_habitat_types_characterized_by_species
Find sites characterized by a particular species|find_sites_types_characterized_by_species
Pick species, show references|pick_species_show_references
Find books, articles which refers to species|find_books_articles
Pick references, show species|pick_references_show_species
Find species referred by books, articles etc.|fins_species_reffered_by_books
Taxonomic classification|taxonomic_classification
Taxonomic classification for species|taxonomic_classification_for_species
A flexible search tool to build your own query|flexible_search_tool_to_build_your_own_query
Search species information using more complex filtering capabilities|search_using_complex_filtering
Help on species <strong>Advanced Search</strong>|species_main_advSearchHelpDesc
A search tool to build aggregated data|search_tool_to_build_aggregated_data
Statistical data|statistical_data
Find statistical data about species|fins_statistical_data_about_species
Species links and downloads|species_main_14_Txt
Find species used in indicators|find_species_used_in_indicators
Help on species <strong>Easy Searches</strong>|species_main_easyHelpDesc
Glossary of the terms used in EUNIS Database species module|species_main_glossaryDesc
Browse|browse
Generic information tools on Species diversity|generic_information_tools_on_species
Help on EUNIS Database species module search tools|species_main_howToDesc
Species advanced search|species_advanced_01
Search species information using multiple characteristics|species_advanced_02
Total species matching your combined criteria found in database:|species_advanced_50
Find books, articles which refers to species<br />(ex.: documents which refers the <strong>salmo trutta</strong> fish)|species_books_17
List of values for|species_books-choice_04
You searched references for species with|species_books-result_02
Species name(s)|species_books-result_15
Species present in a country and a biogeographic region<br/>(ex.: search for species present within <strong>continental</strong> biogeographic region of <strong>Denmark</strong>)|species_country_18
Any country|species_country_12
Disclaimer: Databases does not contain data for all countries|species_country_17
Country / Biogeoregion|species_country-result_01
You searched species located in biogeographic region:|species_country-result_03
from|species_country-result_04
Display vernacular names in results table|display_vernacular_names_in_results
Biogeoregion|biogeoregion
Hide|hide
Species links and downloads|species_download_title
No data is available for download at this time.<br />|species_download_01
We are sorry, the requested species does not exists|species_factsheet_nodata
Grid distribution|grid_distribution
Code cell|code_cell
Latitude (dec. deg)|species_factsheet-distribution_04
Longitude (dec. deg.)|species_factsheet-distribution_05
Status|status
Taxonomic information|species_factsheet_taxonomicInformation
Genus|genus
GBIF link|species_factsheet_03
Redlist link|species_factsheet_05
Fishbase link|species_factsheet_06
SCIRUS|species_factsheet_07
Biology Browser|species_factsheet_08
NCBI Taxonomy browser|species_factsheet_09
Fauna Europaea|species_factsheet_21
Valid subspecies in Europe|valid_subspecies_europe
Open map in new window|open_new_window
Legend|legend
Country/Area|species_factsheet-geo_04
Geographical legal information for|geographical_legal_information
EUNIS provides only European geographical implementation of International Legal texts. Countries which are signatory but outside Pan-Europe are not shown or mentioned|species_factsheet-geo-legal_04
Date of event (yyyy-MM-dd)|species_factsheet-geo-legal_06
Event|species_factsheet-geo-legal_07
Habitat types populated by species|habitat_type_populated_by_species
Detailed reference|detailed_reference
Comments|species_factsheet_legalInstruments_02
Geographical implementation|species_factsheet_legalInstrumentsGeoImplem
Reporting obligations|species_factsheet_legalInstrumentsObligations
Not applicable. See Bonn Agreement or Memorandum.|species_factsheet_notApplicable
Source: European Topic Centre on Biological Diversity|species_factsheet-pdf_03
Generated on|generated_on
Open PDF report|species_factsheet-pdf_94
Sorry, no species matching has been found in database with ID:|species_factsheet-pdf_98
Min / Max (Units)|min_max
Population|population
Sites for subtaxa of this taxon|species_factsheet_sites_02
Image not available|image_not_available
Map legend is based on the most recent information available,<br />additional older information is shown in table only.|species_factsheet-threat_03
National threat code|national_threat_code
Area|area
International threat code|species_factsheet-conservation_09
Trends|trends
Start Period|start_period
End period|end_period
Tendence|species_factsheet-trends_07
Vernacular Name|vernacular_name
Groups|groups
Species and subspecies by main groups<br />(ex.: search species and subspecies belonging to <strong>invertebrates</strong> group)|species_groups_16
Number of scientific species names|species_groups_09
Actual number of taxa|species_groups_10
Select|select
<strong>WARNING:</strong>Getting results for a group with many species can take a longer time.|species_groups_12
* - The number of actual species retrieved by the Search might be different, depending on your user rights|species_groups_Note
You searched species from group|species_groups-result_03
Pick habitat type, show species|species_habitats_01
Identify species located within a specific habitat type<br />(ex.: species located within the <strong>marine habitat</strong>)|species_habitats_25
Warning: This search might take a long time.|might_take_long_time
Pick habitat, show species|species_habitats-result_01
You searched for species in habitat types with|species_habitats-result_02
Display vernacular names|display_vernacular_names
Species referenced by international legal instruments|species_legal_16
(ex.: search <strong>Mammals</strong> referenced by the <strong>ANNEX II - Bern Convention legal text</strong>)|species_legal_30
International Legal Instruments|species_legal_01
Legal texts by selected species<br />(ex.: search legal information mentioning <strong>Alopex lagopus</strong> from <strong>Mammals</strong> group)|species_legal_29
You searched legal instruments for|species_legal-result_02
group and <strong>scientific name</strong> contains|species_legal-result_03
You searched species from|species_legal-result_04
group, referenced by|species_legal-result_05
Any|any
Annex/Appendix|species_legal-result_06
Classification, distribution and threat status of species selected by scientific name <br />(ex.: search all species having <strong>acrocephalus</strong> in their scientific name)|species_names_searchExample1
Valid name|valid_name
Search in synonyms|search_synonyms
Classification, distribution and threat status of species selected by vernacular name<br />(ex.: search for species with popular name <strong>red fox</strong>)|species_names_searchExample2
Kingdom|kingdom
in|species_names_in
Species vernacular name|species_vernacular_name
Search by name results|species_names-result_mainTitleSN
Search by name results|species_names-result_mainTitleSN
No match was found for |species_names-result_descriptionSearchN1
The closest phonetic match we found is: |species_names-result_descriptionSearchN2
References of species selected by references<br />(ex.: all the references recorded in <strong>1978</strong>)|species_references_22
You searched species for which the selected references|species_references-result_02
Display vernacular names in results list|species_references-result_16
Please type a few letters from site name.|please_type_letters_from_site_name
Please enter size as a numerical value.|enter_size_as_number
Biogeographic regions is not valid, please use helper to find biogeographic regions|biogeographic_region_is_not_valid
You searched species from sites with the following characteristic(s)|species_sites-result_02
Site(s) name(s)|species_sites-result_16
Species Statistics|species_statistics
Statistical data at EUNIS Database level:|statistical_data_EUNIS
Number of distinct species:|number_distinct_species
Number of species names:|number_species_names
Number of vernacular names:|number_vernacular_names
Number of languages concerned in vernacular names search:|number_languages
Number of species having international legal status:|number_international_status
Number of international legal instruments:|number_international_instruments
Number of species having conservation status at international level:|number_international_conservation
Number of species having conservation status at national level:|number_national_conservation
Number of countries concerned in conservation status at national level search:|number_countries_conservation
Number of species having geographical distribution:|number_geo
Number of species having grid distribution:|number_grid
No data was found at Eunis Database level!|no_data_eunis
If you want statistical data at country level,|if_want
please choose a country:|please_choose
Statistical data for|statistical_data_for
No data was found for|no_data_country
Search EUNIS Database for species synonyms<br />(ex.: search <strong>mammals</strong> group for <strong>vulpes vulpes</strong>)|species_synonyms_20
Synonym name|species_synonyms_07
Group name|group_name
Synonyms search results|species_synonyms-result_01
You searched synonyms for species with scientific name|species_synonyms-result_02
Synonym|synonym
Species taxonomic classification|habitats_taxonomic-browser_01
Taxonomic tree view of species<br /><br /><strong>Warning: Expanding a branch with many species (Animalia) will take a longer time</strong>|habitats_taxonomic-browser_02
Expand up to|expand_up_to
Species related (only for finals taxonomies)|habitats_taxonomic-browser_06
There are no species in database related to selected category|habitats_taxonomic-browser_09
Search species threatened at international level <br />(ex.: search birds from <strong>Europe</strong> which are marked as <strong>declining</strong>)|species_threat-international_20
Geographical region|geographical_region
Threat Status|threat_status
Any group|any_group
Save this criteria|species_threat-international_10
Species international threat status|species_international_threat_status
You searched species with threat international status|species_threat-international-result_02
Species threatened at country level<br />(ex.: search for <strong>birds</strong> from <strong>Poland</strong> which are marked as <strong>critically endangered</strong>)|species_threat-national_21
Disclaimer: Database does not contain data for all countries|species_threat-national_20
Species threatened at national level|species_threat-national-result_01
You searched species with threat national level:|species_threat-national-result_02
Eunis status|systemcheck_02
Tomcat status|systemcheck_03
MySQL status|systemcheck_04
EUNIS Database Learning tutorials|tutorials_01
Search species by name|tutorials_03
Search species by country/biogeoregion|tutorials_04
Search species by group|tutorials_05
Search species by synonyms|tutorials_06
Search habitat types by name|tutorials_08
Search habitat types by code classification|tutorials_09
Search habitat types by country/biogeoregion|tutorials_10
Search habitat types by legal instruments|tutorials_11
Search sites by name|tutorials_13
Search sites by country|tutorials_15
Search sites by designation|tutorials_17
Search sites by altitude|tutorials_18
General usage|tutorials_19
EUNIS Database general usage|tutorials_20
Advanced usage|tutorials_21
GIS Tool Help|gis_help
EUNIS Database Advanced search|tutorials_23
EUNIS Database Combined search|tutorials_24
EUNIS Database User Management|eunis_database_user_management
EUNIS Database User Bookmarks|users_bookmarks_03
Edit bookmark|edit_bookmark
Bookmark name|users_bookmarks_05
Bookmark description|users_bookmarks_06
This bookmark does not exist.|users_bookmarks_07
Bookmark has been successfully updated.|users_bookmarks_08
An error occurred while updating the bookmark.|users_bookmarks_11
Delete bookmark|delete_bookmark
Bookmark has been successfully deleted.|users_bookmarks_13
An error occurred while deleting the bookmark.|users_bookmarks_14
Bookmarks list|users_bookmarks_15
There are no saved bookmarks.|users_bookmarks_19
You must be authenticated and have the proper right to access this page.|users_bookmarks_20
Bookmark URL|users_bookmarks_save_02
Enter description for bookmark|users_bookmarks_save_03
Web content editor|web_content_editor
Use this page to add new content to the database.|web_content_keys_03
Id page|web_content_keys_04
Content|content
You do not have the proper privileges to access the functionality of this page.|web_content_keys_10
Webbrowsers without Javascript can go directly to <a href="http://data.gbif.org/species/{0}">GBIF's page on {1}</a>.|Webbrowsers without Javascript can go directly to <a href="http://data.gbif.org/species/{0}">GBIF's page on {1}</a>.
